,,,,,Percent in ,,,,,,
Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
12/31/22,560,manly,20380,1899,0,2,17,37,29,12,2
12/30/22,559,molar,21204,1973,0,4,21,38,26,9,1
12/29/22,558,havoc,20001,1919,0,2,16,38,30,12,2
12/28/22,557,impel,20160,1937,0,3,21,40,25,9,1
12/27/22,556,condo,20879,2012,0,2,17,35,29,14,3
12/26/22,555,judge,20011,2043,0,2,8,16,26,33,14
12/25/22,554,extra,15554,1562,1,5,20,35,28,10,1
12/24/22,553,poise,20281,1911,2,11,34,32,15,6,1
12/23/22,552,aorta,21937,2112,0,7,26,35,20,10,3
12/22/22,551,excel,20490,2034,0,1,13,34,34,15,2
12/21/22,550,lunar,22180,2036,0,5,32,40,17,4,0
12/20/22,549,third,24137,2261,1,10,47,32,9,2,0
12/19/22,548,slate,26010,2422,6,14,33,27,13,5,1
12/18/22,547,taper,22166,2108,0,8,28,30,20,11,3
12/17/22,546,chord,22336,2088,0,7,39,38,13,3,0
12/16/22,545,rprobe,22853,2160,0,6,24,32,24,11,3
12/15/22,544,rival,22176,2127,0,7,27,35,22,8,1
12/14/22,543,usual,20824,2048,0,3,20,39,27,10,1
12/13/22,542,spoke,24101,2224,0,6,31,38,19,5,0
12/12/22,541,apply,22873,2150,0,5,28,38,22,7,1
12/11/22,540,naïve,21947,2075,1,7,24,32,24,11,1
12/10/22,539,knock,21157,2041,0,3,18,43,27,8,1
12/9/22,538,braid,23640,2165,0,10,36,35,14,3,0
12/8/22,537,infer,21199,1863,0,3,19,33,26,14,3
12/7/22,536,joust,24899,2388,0,6,29,34,21,8,2
12/6/22,535,amber,23509,2261,0,6,22,33,24,12,3
12/5/22,534,woken,23153,2200,0,2,10,25,36,23,4
12/4/22,533,adore,25577,2398,2,17,32,29,15,5,1
12/3/22,532,torso,23873,2260,0,4,35,36,17,6,1
12/2/22,531,chafe,24646,2343,0,6,30,33,19,9,2
12/1/22,530,eject,22628,2200,0,2,11,35,36,14,2
11/30/22,529,study,2569,2405,0,6,30,33,19,10,2
11/29/22,528,undue,23739,2316,0,3,19,35,29,13,2
11/28/22,527,tepid,26051,2484,0,10,38,35,13,3,0
11/27/22,526,happy,25206,2356,0,6,28,39,19,6,1
11/26/22,525,clen,26381,2424,1,17,36,31,12,3,0
11/25/22,524,itchy,24197,2329,0,8,28,40,18,5,1
11/24/22,523,feast,27705,2725,5,13,25,27,19,10,2
11/23/22,522,drive,26663,2451,1,12,32,30,18,6,1
11/22/22,521,prime,27437,2534,1,10,26,32,21,9,1
11/21/22,520,axiom,24288,2382,0,5,19,33,27,13,3
11/20/22,519,brave,24991,2396,1,6,17,27,27,18,5
11/19/22,518,avert,24749,2400,0,7,26,35,22,9,1
11/18/22,517,glyph,29208,2899,0,2,23,49,20,5,1
11/17/22,516,there,27465,2530,0,14,35,33,14,4,0
11/16/22,515,baker,25576,2541,0,5,16,23,24,22,10
11/15/22,514,snarl,27475,2650,0,5,21,31,24,15,4
11/14/22,513,maple,26536,2467,1,6,26,36,21,8,1
11/13/22,512,inane,25085,2515,0,8,25,30,21,13,3
11/12/22,511,valet,24660,2356,0,4,22,38,25,9,1
11/11/22,510,medal,25993,2438,0,5,25,38,23,8,1
11/10/22,509,unite,27467,2575,1,11,31,33,18,5,1
11/9/22,508,rainy,28984,2678,1,16,38,31,11,3,1
11/8/22,507,spell,27213,2531,0,4,24,37,24,9,1
11/7/22,506,begin,26096,2439,0,6,26,36,23,7,1
11/6/22,505,stale,31068,3013,2,19,30,27,15,6,2
11/5/22,504,dream,29743,2751,5,14,31,29,15,4,1
11/4/22,503,photo,27330,2565,0,5,34,43,15,3,0
11/3/22,502,aloud,29554,2819,1,18,31,30,15,4,1
11/2/22,501,inept,27670,2640,0,6,30,39,20,6,1
11/1/22,500,piney,27502,3667,0,1,14,37,33,14,2
10/31/22,499,aptly,26498,2572,0,3,26,41,23,7,1
10/30/22,498,waltz,24672,2496,0,2,11,29,35,19,3
10/29/22,497,libel,25156,2536,0,3,15,32,32,16,2
10/28/22,496,sneak,27905,2636,0,7,28,36,21,7,1
10/27/22,495,carry,27609,2615,0,4,22,35,24,12,3
10/26/22,494,flout,30063,2904,0,6,28,37,21,7,1
10/25/22,493,foggy,28953,2817,0,2,13,35,32,15,3
10/24/22,492,fault,28947,2768,0,7,27,35,22,8,1
10/23/22,491,mummy,29279,3021,0,1,4,14,27,37,18
10/22/22,490,spiel,29084,2810,0,7,32,36,19,6,1
10/21/22,489,grove,28637,2794,0,4,18,30,28,17,3
10/20/22,488,denim,28741,2769,0,5,29,40,20,5,0
10/19/22,487,quirk,28322,2794,0,3,23,39,24,9,2
10/18/22,486,exist,28612,2805,0,5,24,38,23,8,1
10/17/22,485,stein,31269,2965,1,12,34,32,16,5,1
10/16/22,484,spade,30459,2854,1,8,29,36,19,6,1
10/15/22,483,catch,30403,3123,0,7,18,20,15,16,23
10/14/22,482,floor,28906,2752,0,3,23,44,24,6,0
10/13/22,481,equal,27197,2677,0,5,23,35,25,11,2
10/12/22,480,ionic,29151,2947,0,2,13,25,28,21,11
10/11/22,479,valid,28575,2752,0,4,28,38,21,8,1
10/10/22,478,enjoy,26878,2654,0,3,12,29,33,20,3
10/9/22,477,howdy,28408,2668,0,2,13,32,32,17,4
10/8/22,476,vigor,26905,2642,0,2,15,35,31,14,2
10/7/22,475,dandy,29026,2840,0,2,11,23,29,24,11
10/6/22,474,sloth,32522,2987,1,10,38,34,13,3,0
10/5/22,473,marxh,30935,2885,0,9,30,35,19,6,1
10/4/22,472,bough,32014,3060,0,3,17,35,28,13,3
10/3/22,471,sting,32288,2969,1,10,30,33,18,8,2
10/2/22,470,twine,30088,2775,0,6,28,40,20,5,1
